Epoch,Loss Function,Train Loss,Test Loss,Test Accuracy
1,CrossEntropyLoss,0.41349631335054127,0.6935070753097534,0.5
2,CrossEntropyLoss,0.35780647290604456,0.6936902046203614,0.5
3,CrossEntropyLoss,0.13152604124375752,0.6945159435272217,0.5
4,CrossEntropyLoss,0.073433398468686,0.695785403251648,0.5
